0textId year verbs innerVerbs voir:perception regarder:perception sentir:perception apercevoir:perception vouloir:volition oser:volition compter:volition essayer:volition savoir:cognition trouver:cognition croire:cognition entendre:cognition attendre:cognition connaître:cognition devoir:moral falloir:moral espérer:moral valoir:moral refuser:moral accepter:moral engager:moral aimer:affect manquer:affect souffrir:affect craindre:affect 
FRA06901 1879 16301 2058 254 53 112 13 235 23 30 22 231 140 82 66 100 74 140 165 20 23 15 33 16 160 15 21 15 
FRA07001 1892 4658 383 55 28 16 8 36 8 1 5 46 16 27 35 11 11 21 9 5 3 2 2 1 20 8 2 7 
FRA07101 1856 7760 821 106 24 3 12 123 6 7 10 59 96 41 40 15 21 63 48 15 3 13 13 3 51 13 22 14 
FRA07201 1886 14192 1503 157 25 51 32 165 11 34 64 137 159 68 67 65 69 142 82 27 9 16 12 16 47 22 11 15 
FRA07301 1853 9094 985 134 52 21 28 121 9 11 22 95 72 50 41 40 24 50 42 10 8 13 11 5 84 8 26 8 
FRA07401 1910 20841 1910 255 82 44 47 206 17 18 18 245 130 95 94 100 113 114 130 16 31 18 23 21 54 15 7 17 
FRA07501 1897 27972 3381 475 67 52 73 473 38 23 29 464 193 216 157 110 103 194 286 58 48 41 23 20 149 44 24 21 
FRA07601 1913 40461 4414 655 246 54 161 391 41 30 39 514 318 249 440 231 198 290 200 34 16 25 17 13 157 37 25 33 
Nerciat_Monrose 1792 2295 313 351 1 7 3 31 20 2 1 44 23 26 13 12 28 22 14 2 5 3 0 3 5 7 3 1
Voltaire_Candide 1759 479 56 64 4 0 0 7 4 0 0 3 3 4 4 1 5 3 7 0 1 0 1 0 3 1 1 0
Dorat_Sacrifices 1771 1120 159 149 2 6 2 16 11 0 1 20 5 23 3 3 15 11 5 3 3 0 2 0 17 0 3 7
Crebillon_Conte 1751 2203 381 347 4 15 5 42 15 5 1 22 28 65 12 12 16 25 26 3 1 4 0 3 27 4 4 17
Beaumont_Belle 1756 172 22 25 2 0 0 6 0 0 0 2 2 0 1 0 0 0 4 0 0 0 0 0 1 0 0 0
CastilhonJL_Zingha 1769 477 31 41 1 2 2 4 10 0 0 0 1 3 0 0 4 4 0 1 0 3 0 0 2 1 1 0
Bernardin_Chaumiere 1791 117 10 11 0 1 0 0 4 0 0 1 2 0 0 0 0 4 0 0 1 0 0 0 1 0 0 0
Mercier_An 1771 1015 115 135 3 4 6 6 10 1 0 8 7 9 5 1 9 14 4 1 3 1 0 0 1 2 3 3
Charriere_Ruines 1799 228 27 29 1 0 0 5 1 0 0 5 1 2 0 0 1 0 3 1 1 0 0 0 0 0 0 1
Chevrier_Colporteur 1761 631 97 77 1 0 0 16 1 3 0 7 6 7 6 2 7 7 3 1 1 0 0 1 2 2 2 1
Bellin_Nuit 1799 656 86 71 0 2 4 8 3 0 1 7 10 13 2 4 3 5 2 2 1 0 1 1 5 0 1 0
Fourqueux_Zely 1775 360 42 40 0 6 2 6 4 0 0 2 2 2 2 0 2 4 3 0 1 0 0 1 5 1 0 0
Voltaire_Bramin 1761 147 22 26 0 0 0 4 2 0 0 6 1 2 0 0 0 0 3 0 0 0 1 0 0 1 0 0
Anonym_Enfant 1800 439 51 61 0 1 5 5 6 0 0 4 3 4 0 0 3 6 2 0 2 1 0 1 1 1 1 0
Voltaire_Amabed 1769 204 26 27 0 0 0 2 2 1 0 4 1 5 1 1 1 1 4 0 0 1 0 0 0 1 0 2
Voisenon_Histoire 1751 180 27 23 1 1 2 2 0 0 1 2 3 2 0 0 4 3 2 0 0 0 0 0 3 1 0 0
Gorjy_Voyage 1791 288 44 48 0 1 3 4 0 0 0 4 2 6 5 0 2 2 3 0 0 0 3 0 0 1 1 1
Quesne_Folies 1800 668 61 49 2 4 0 10 6 2 0 5 4 5 1 1 6 4 1 1 1 2 0 0 5 0 0 1
Anonym_Histoire 1757 632 66 78 1 0 4 7 8 2 0 5 6 4 3 3 6 5 6 0 2 0 0 1 0 2 1 1
Linguet_Voyage 1755 399 41 30 1 2 2 3 1 0 1 0 9 5 1 0 2 2 2 0 1 0 0 2 1 0 0 0
Montesquieu_Arsace 1755 210 33 23 1 1 0 5 3 1 0 1 2 1 1 0 2 0 2 1 0 0 0 0 2 0 0 3
PigaultLebrun_Kinglin 1800 297 41 33 1 0 0 3 3 1 0 4 3 0 2 1 3 5 4 1 1 0 0 0 5 2 0 0
Voltaire_Taureau 1774 158 19 21 0 1 1 4 1 0 0 5 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1
Lagrave_Zabeth 1798 1175 160 152 5 7 2 21 7 3 0 13 10 7 12 4 5 10 6 2 0 3 0 0 7 1 3 3
Voltaire_Jenni 1775 282 40 37 0 1 0 3 3 0 0 8 0 1 1 1 2 1 7 0 0 0 0 0 2 2 0 0
Diderot_Ceci 1772 218 33 32 0 0 0 4 1 1 0 9 0 2 1 1 4 2 2 0 0 0 2 0 0 0 0 1
Diderot_Religieuse 1796 1080 155 155 3 10 3 14 12 2 0 20 9 10 8 10 6 3 11 0 2 1 0 4 4 1 2 1
Cazotte_Honneur 1788 238 16 20 0 0 0 3 2 0 0 1 1 0 2 0 1 0 2 0 1 0 0 0 1 0 0 0
PigaultLebrun_Metusko 1800 255 28 21 0 2 0 1 3 2 0 4 2 0 3 1 1 3 0 0 0 1 1 0 1 0 0 1
Arnaud_Batilde 1767 225 26 29 1 2 0 1 2 0 0 3 1 0 0 0 2 7 1 0 0 0 0 0 4 0 1 1
Barthe_Femme 1769 934 135 107 2 4 1 10 6 0 1 11 5 3 16 5 5 8 24 1 4 2 0 1 12 2 0 4
Pertusier_Premiere 1800 754 118 83 2 1 6 9 0 3 0 10 13 8 5 14 10 9 8 0 3 2 1 4 0 0 1 0
Sade_Infortunes 1787 717 87 96 1 4 1 13 4 0 0 1 10 4 4 2 6 7 9 1 5 3 1 2 2 1 0 0
Voltaire_Bababec 1750 139 13 21 1 0 0 1 0 1 0 2 0 2 1 0 1 0 0 0 0 0 0 1 0 0 0 0
Arnaud_Julie 1767 225 26 23 1 1 1 1 1 0 0 1 1 1 0 0 3 3 3 1 0 0 0 0 4 0 1 1
Rousseau_Emile 1762 4229 640 622 7 39 8 77 29 4 1 66 19 35 38 7 28 77 91 5 5 5 3 1 10 8 16 10
Maistre_Voyage 1794 258 24 32 0 2 0 2 4 0 1 2 0 2 2 0 0 1 2 0 0 3 0 0 0 0 0 1
Constant_Laure 1787 4312 834 743 17 35 17 141 21 3 1 75 47 78 41 23 40 51 44 13 7 2 7 1 36 2 6 14
Sade_Aline 1795 4615 686 559 6 20 5 102 59 2 2 58 63 53 27 25 33 73 46 8 7 9 3 8 24 2 6 17
Retif_AntiJustine 1798 957 105 107 2 7 4 8 5 0 1 4 11 11 4 2 5 6 5 1 1 0 0 0 7 0 2 5
Reveroni_Pauliska 1798 968 113 86 3 5 3 4 10 4 0 3 11 7 8 9 9 11 3 1 1 2 2 2 4 0 2 0
Arnaud_Anne 1769 270 29 40 1 1 1 4 4 0 0 4 1 2 0 0 1 4 1 0 1 0 0 0 4 1 0 1
Abbes_Voyage 1758 173 20 24 0 1 1 0 0 0 0 1 3 2 0 0 1 1 1 0 1 0 0 0 0 1 0 1
Riccoboni_Histoire 1758 392 55 52 2 3 3 3 6 0 0 1 5 3 1 1 3 2 1 0 0 1 0 3 9 1 0 1
Arnaud_Sidney 1766 243 21 26 2 0 1 3 2 0 0 2 1 2 1 1 3 1 2 0 1 0 0 0 0 0 0 0
Voltaire_Princesse 1768 359 33 50 2 0 2 1 5 0 2 3 3 2 0 0 0 7 3 0 0 0 0 0 2 0 0 0
Arnaud_Bal 1751 258 39 18 2 3 2 8 2 0 0 0 5 1 2 2 4 2 1 0 1 0 0 2 2 1 0 0
Villeneuve_Temps 1768 1239 167 189 3 13 7 17 15 3 0 12 18 7 1 3 11 18 7 2 1 2 3 1 3 9 1 3
Charriere_Neuchateloises 1784 271 42 53 0 1 0 8 3 0 0 4 7 2 1 0 0 1 3 1 0 1 0 0 2 0 0 1
Arnaud_Adelson 1772 365 35 46 2 5 0 3 3 0 0 4 0 3 0 1 3 6 2 0 0 1 0 0 1 0 1 2
Laclos_Liaisons 1782 2421 417 398 11 14 5 43 21 5 0 64 24 44 11 10 23 32 31 15 4 5 1 1 2 6 4 7
Sacy_Amours 1761 187 22 15 0 2 1 1 3 0 1 0 0 0 1 0 4 2 0 1 0 0 0 0 2 0 1 0
Arnaud_Selicourt 1769 283 39 38 1 3 0 6 1 0 1 1 5 2 0 0 3 4 1 1 0 0 0 0 6 0 0 3
Diderot_Neveu 1773 404 58 63 2 2 0 2 1 1 0 10 0 3 7 2 2 2 7 1 1 0 0 0 1 2 1 0
Charriere_Observations 1788 102 28 14 1 1 0 4 0 0 1 1 0 5 5 0 2 4 0 0 0 0 0 0 0 0 0 0
Senac_Emigre 1797 1954 255 277 10 9 2 12 16 1 1 14 21 25 13 6 16 27 21 3 2 1 3 1 12 2 5 7
Cottin_Claire 1798 571 89 76 1 6 1 8 5 1 0 13 7 7 3 2 6 12 3 0 0 1 0 0 4 1 0 2
Morelly_Naufrage 1753 1422 152 132 3 14 7 11 17 1 1 12 14 12 1 2 20 7 3 3 2 1 0 2 5 3 0 7
Marmontel_Contes 1761 1996 325 270 1 18 8 53 12 3 1 22 20 23 14 6 14 20 14 4 4 0 1 1 40 3 0 7
Anonyme_Venus 1770 654 118 78 0 10 2 18 6 1 0 13 11 6 5 5 12 5 10 1 4 1 0 2 1 2 0 1
Denon_Point 1777 284 43 35 1 0 1 3 2 1 0 5 4 3 1 4 3 0 4 0 0 0 0 1 4 1 0 1
Rousseau_Reine 1758 173 23 27 0 1 0 4 2 0 0 1 3 1 1 2 2 2 2 1 0 0 0 0 3 2 0 0
Riccoboni_MissJenny 1764 1583 223 151 2 15 5 24 24 3 0 7 13 13 6 9 11 28 1 6 2 1 3 6 19 1 4 9
Loaisel_Ainsi 1788 1012 142 127 1 15 0 17 3 0 1 8 3 15 4 0 11 12 6 2 4 1 0 0 16 0 0 3
Retif_Vie 1779 778 95 105 0 2 4 8 8 0 0 8 5 6 4 3 2 6 11 0 4 1 0 2 3 1 3 3
Loaisel_Comtesse 1779 437 51 56 1 1 5 4 6 0 0 1 4 1 2 0 3 7 0 0 1 1 0 0 6 0 1 2
Mirabeau_Rideau 1786 626 78 83 1 8 6 6 6 0 0 1 10 3 3 3 4 8 1 0 0 2 0 1 3 2 0 2
Arnaud_Fanny 1764 252 30 30 1 2 0 7 4 0 0 3 1 3 0 1 1 2 2 0 0 0 0 0 0 1 0 0
Loaisel_Dolbreuse 1783 884 112 100 0 11 2 8 7 0 0 6 6 2 4 1 13 16 10 4 1 0 0 0 8 0 1 5
Leonard_Lettres 1783 1226 188 160 2 7 3 22 7 0 1 14 11 16 3 1 15 8 16 2 2 3 1 1 6 0 2 6
Riccoboni_Ernestine 1765 303 37 25 3 2 2 4 1 0 0 0 6 1 2 2 2 4 1 0 0 0 1 3 0 0 0 0
Florian_Galatee 1783 388 44 34 1 2 1 7 4 0 0 2 4 2 0 1 5 5 4 1 3 1 0 0 2 1 1 1
Morliere_Royalisme 1770 233 30 24 1 2 1 5 2 0 0 0 0 0 0 1 4 7 1 1 0 0 0 0 0 0 0 0
Fievee_Dot 1797 468 63 57 4 5 2 5 1 0 1 4 4 6 1 2 7 2 1 1 0 0 1 1 11 0 0 3
Voltaire_Scarmentado 1756 386 55 47 0 2 0 7 2 2 0 5 4 6 2 1 0 3 2 3 1 0 0 0 1 1 0 0
PigaultLebrun_Adele 1800 282 30 39 1 0 0 2 4 0 0 2 2 1 2 3 3 5 3 0 1 1 0 0 2 0 0 0
Lesuire_Crime 1789 2791 474 471 8 20 10 74 17 0 0 39 26 27 5 4 31 33 47 3 7 0 4 4 6 6 5 5
Arnaud_Lucie 1767 199 22 29 0 1 1 2 1 0 0 5 0 1 1 2 1 2 0 0 0 0 0 0 3 1 0 2
Nerciat_Felicia 1775 1509 211 220 1 13 1 19 13 2 3 13 17 13 5 3 15 19 20 2 7 1 1 3 9 6 2 3
Dulaurens_Compere 1766 1892 206 232 3 6 5 22 14 1 1 25 32 10 11 8 16 12 8 4 1 1 2 0 6 2 1 2
Segur_Correspondance 1789 585 104 97 0 7 1 10 3 1 0 10 7 18 1 0 6 5 10 3 0 0 0 0 7 0 2 4
Genlis_Adele 1782 3635 457 620 8 15 1 48 15 3 2 60 30 40 13 15 28 40 44 7 9 1 0 0 22 10 5 5
Marmontel_Incas 1777 1407 136 144 3 6 1 10 23 0 1 12 6 11 6 3 6 20 12 3 0 1 0 0 1 0 3 2
Gimat_Voyage 1753 413 44 34 2 4 1 7 5 1 0 0 4 2 0 1 2 5 7 0 0 0 0 0 0 4 0 0
Dulaurens_Imirce 1765 971 114 112 2 3 1 10 10 1 0 3 14 7 4 2 8 12 6 0 1 1 1 1 10 4 0 0
Lesuire_Aventurier 1782 3451 548 529 11 18 28 50 21 8 0 46 49 27 18 17 41 54 40 1 1 6 1 3 14 7 11 3
Mouhy_Opuscule 1752 159 19 14 1 0 0 4 0 0 0 0 5 1 0 0 2 1 0 0 1 0 0 0 0 2 0 0
Malarme_Rose 1783 1312 204 207 1 9 3 27 9 0 0 20 14 13 4 9 11 13 17 5 2 1 2 2 13 1 5 3
Marchand_Avis 1751 249 27 25 1 3 2 2 5 0 0 0 4 6 1 0 1 3 1 0 0 0 0 0 1 1 1 0
BarbeMarbois_Parisienne 1769 444 62 63 1 3 0 14 2 0 0 0 3 9 2 1 6 6 2 0 0 0 0 1 4 2 1 0
Beauharnais_Lettres 1778 2034 293 261 2 28 5 26 28 0 4 11 15 26 8 5 17 40 12 9 1 3 3 4 18 1 8 8
Anonyme_Zoloe 1800 226 10 29 1 3 0 1 1 0 0 2 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
Sade_120 1785 2029 232 299 3 7 1 31 13 1 1 18 26 10 5 7 12 26 19 0 1 2 3 3 6 5 2 3
Marmontel_Belisaire 1767 694 92 80 1 6 1 14 7 1 0 5 4 9 3 6 6 7 8 1 0 1 2 0 1 1 2 1
Lagrave_Sophie 1798 821 115 131 1 1 5 5 2 1 0 5 14 22 0 1 14 6 5 2 2 0 0 0 7 2 3 1
Charriere_Sainte 1799 427 74 58 1 3 1 12 1 2 0 14 7 4 4 2 0 2 3 1 2 0 0 0 1 1 1 1
Rousseau_Reveries 1778 615 73 90 1 9 3 5 1 2 0 10 14 1 0 1 5 5 4 4 0 0 0 0 2 0 0 4
Puget_Periphas 1761 884 72 69 0 5 3 4 4 0 0 11 1 1 4 3 7 17 5 0 0 0 0 0 1 1 1 5
Diderot_Pensees 1777 124 18 21 0 1 0 0 1 0 0 1 1 2 0 1 0 3 3 0 0 0 0 0 1 0 0 2
